Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
12/7/2019,120449.27,28401.86914,28603.86914,28399.66016,28471.61914,28471.61914,1204492700
15/7/2019,131711.64,28303.35938,28567.25,28071.18945,28554.88086,28554.88086,1317116400
16/7/2019,102468.19,28583.92969,28634.65039,28489.41016,28619.61914,28619.61914,1024681900
17/7/2019,95044.11,28463.76953,28593.16992,28377.33984,28593.16992,28593.16992,950441100
18/7/2019,92503.73,28393.03906,28511.65039,28376.5,28461.66016,28461.66016,925037300
19/7/2019,126101.23,28585.15039,28809.58984,28551.19922,28765.40039,28765.40039,1261012300
22/7/2019,110488.65,28612.2793,28649.43945,28303.55078,28371.25977,28371.25977,1104886500
23/7/2019,95002.93,28392.03906,28489.28906,28313.78906,28466.48047,28466.48047,950029300
24/7/2019,107582.19,28578.14063,28764.5,28515.91992,28524.03906,28524.03906,1075821900
25/7/2019,97426.46,28575.49023,28628.50977,28517.00977,28594.30078,28594.30078,974264600
26/7/2019,132069.99,28406.07031,28487.64063,28338.30078,28397.74023,28397.74023,1320699900
29/7/2019,156357.23,28262.80078,28302.66016,27945.41016,28106.41016,28106.41016,1563572300
30/7/2019,114756.1,28059.82031,28274.65039,28059.82031,28146.5,28146.5,1147561000
31/7/2019,128708.44,27931.2793,27939.7207,27701.43945,27777.75,27777.75,1287084400
1/8/2019,173644.4,27582.21094,27754.03906,27495.89063,27565.69922,27565.69922,1736444000
2/8/2019,231760.92,26950.5293,27043.46094,26868.96094,26918.58008,26918.58008,2317609200
5/8/2019,212074.53,26480.4707,26502.60938,26086.85938,26151.32031,26151.32031,2120745300
6/8/2019,275186.7,25472.42969,26042.23047,25397.34961,25976.24023,25976.24023,2751867000
7/8/2019,167133.5,25977.7207,26025.43945,25738.80078,25997.0293,25997.0293,1671335000
8/8/2019,165812.99,25999.44922,26317.41992,25999.44922,26120.76953,26120.76953,1658129900
9/8/2019,135761.69,26278.91992,26313.7793,25939.30078,25939.30078,25939.30078,1357616900
